"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","20-NOV-25","20-NOV-25","00:00:00Z","BEAUFORT","SOUTH CAROLINA","UNITED STATES","CRASHED FOR UNKNOWN REASONS AND BECAME SUBMERGED IN A MARSH APPROXIMATELY 9 MILES NNE BEAUFORT EXECUTIVE ARPT (ARW).","ACCIDENT","COLUMBIA SC FSDO","N82MT","","","MIKE TOOMEY","LONG EZ","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","02-OCT-25","01-OCT-25","09:00:00Z","COLORADO SPRINGS","COLORADO","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND CRASHED ON SIDE OF ROAD, COLORADO SPRINGS, CO.","INCIDENT","DENVER FSDO","N999AD","","","PIPER","PA28R","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","02-OCT-25","01-OCT-25","18:20:00Z","TOLLESON","ARIZONA","UNITED STATES","AIRCRAFT STRUCK A STATIONARY CRANE UNDER UNKNOWN CIRCUMSTANCES AND POST CRASH FIRE, TOLLESON, AZ.","ACCIDENT","SCOTTSDALE FSDO","N579PA","","","AMAZON PRIME AIR","MK30","No","SUBSTANTIAL","CARGO","EN ROUTE (ENR)","135","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","02-OCT-25","01-OCT-25","18:19:00Z","TOLLESON","ARIZONA","UNITED STATES","AIRCRAFT STRUCK A STATIONARY CRANE UNDER UNKNOWN CIRCUMSTANCES AND POST CRASH FIRE, TOLLESON, AZ.","ACCIDENT","SCOTTSDALE FSDO","N791PA","","","AMAZON PRIME AIR","MK30","No","SUBSTANTIAL","CARGO","EN ROUTE (ENR)","135","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","02-OCT-25","01-OCT-25","22:52:00Z","WINTERSET","IOWA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES, CRASH LANDED IN A FIELD AND FLIPPED OVER, WINTERSET, IA.","INCIDENT","DES MOINES FSDO","N516BW","","","QUARTZ MOUNTAIN AEROSPACE","11E","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","02-OCT-25","01-OCT-25","17:45:00Z","HASKELL","OKLAHOMA","UNITED STATES","AIRCRAFT NOSED OVER DURING LANDING AND FLIPPED OVER, HASKELL, OK.","INCIDENT","WILL ROGERS FSDO","N621E","","","CHAMPION","7GC","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","02-OCT-25","01-OCT-25","19:35:00Z","SILSBEE","TEXAS","UNITED STATES","AIRCRAFT MADE AN EMERGENCY LANDING IN A PIPELINE EASEMENT AND ROLLED INTO A DITCH, SILSBEE, TX.","INCIDENT","HOUSTON FSDO","N1941E","","","BOEING","A75L300","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","02-OCT-25","01-OCT-25","19:15:00Z","MORGANTOWN","WEST VIRGINIA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED IN A FIELD, MORGANTOWN, WV.","INCIDENT","CHARLESTON FSDO","N82757","","","PIPER","PA28","No","UNKNOWN","PERSONAL","APPROACH (APR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"No","02-OCT-25","02-OCT-25","03:21:00Z","NEW YORK","NEW YORK","UNITED STATES","AIRCRAFT STRUCK EDV5047 NEAR TAXIWAY A AND TAXIWAY M DAMAGING THE RIGHT WING, NEW YORK, NY.","ACCIDENT","FARMINGDALE FSDO","N902XJ","EDV5155","ENDEAVOR AIR","BOMBARDIER","CL-600-2D24","No","SUBSTANTIAL","COMMERCIAL","TAXI (TXI)","121","MINOR","No","2","0","0","0","0","0","1","0","0","0","25","0","0","0","0","0","0","0","0","0"
"No","02-OCT-25","01-OCT-25","04:00:00Z","KOTLIK","ALASKA","UNITED STATES","AIRCRAFT LANDED GEAR UP INCURRING A PROP STRIKE, KOTLIK, AK.","INCIDENT","ANCHORAGE FSDO","N16SC","","","PIPER","PA31","No","UNKNOWN","ON DEMAND","LANDING (LDG)","135","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
