"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","23-JUN-26","22-JUN-26","17:38:00Z","WHITEWATER","WISCONSIN","UNITED STATES","AIRCRAFT DURING HANG GLIDER TOW, THE PILOT OF THE HANG GLIDER FELL APPROXIMATELY 30 FEET RESULTING IN A FATAL INJURY, WHITEWATER, WI.","ACCIDENT","MILWAUKEE FSDO","N3849A","","","BAILEY-MOYES","DRAGONFLY","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","FATAL","Yes","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-JUN-26","15-JUN-26","21:00:00Z","WARRENTON","VIRGINIA","UNITED STATES","AIRCRAFT TAXIING TO RAMP,  ENCOUNTERED A GUST OF WIND AND ENDED UP ON ITS SIDE, WARRENTON, VA.","ACCIDENT","WASHINGTON FSDO","N637J","","","JABIRU","J250-SP","No","SUBSTANTIAL","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-JUN-26","31-MAY-26","21:00:00Z","FAIRBANKS","ALASKA","UNITED STATES","AIRCRAFT LOST CONTROL ON TAKE OFF AND NOSED OVER, FAIRBANKS, AK.","ACCIDENT","FAIRBANKS FSDO","N2821Q","","","CESSNA","185","No","SUBSTANTIAL","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-JUN-26","15-JUN-26","12:12:00Z","PROVINCETOWN","MASSACHUSETTS","UNITED STATES","AIRCRAFT ON LANDING STRUCK MULTIPLE LIGHTS AND WENT OFF THE END OF THE RUNWAY, PROVINCETOWN, MA.","INCIDENT","BOSTON FSDO","N499CA","KAP2111","CAPE AIR","CESSNA","402","No","UNKNOWN","ON DEMAND","LANDING (LDG)","135","MINOR","No","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-JUN-26","12-JUN-26","18:00:00Z","GONZALES","LOUISIANA","UNITED STATES","AIRCRAFT PROP DETACHED, PART OF WHICH PENETRATED THE FUSELAGE AND PILOT WAS ABLE TO GLIDE BACK TO THE AIRPORT, GONZALES, LA.","INCIDENT","BATON ROUGE FSDO","N13BM","","","EIRI-AVION","PIK 203","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-JUN-26","03-JUN-26","18:30:00Z","GREGORY","MICHIGAN","UNITED STATES","AIRCRAFT ENCOUNTERED TALL GRASS DURING LANDING AND GROUND LOOPED, GREGORY, MI.","INCIDENT","EAST MICHIGAN FSDO","N4101M","","","BURKHART GROB FLUGZEUGBAU","G103 TWIN ASTIR","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-JUN-26","13-JUN-26","19:30:00Z","MOUNTAIN HOME","IDAHO","UNITED STATES","AIRCRAFT LOST CONTROL ON LANDING DAMAGING GEAR AND PROP, MOUNTAIN HOME, ID.","INCIDENT","BOISE FSDO","N9920C","","","LUSCOMBE","8F","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-JUN-26","11-JUN-26","15:09:00Z","CHARLOTTE","VERMONT","UNITED STATES","AIRCRAFT NOSE GEAR SANK INTO THE DIRT ON LANDING DAMAGING THE NOSE GEAR, CHARLOTTE, VT.","INCIDENT","PORTLAND ME FSDO","N70933","","","CESSNA","182","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","17-JUN-26","15-JUN-26","02:28:00Z","SAVANNAH","MISSOURI","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES IN A WOODED AREA, SAVANNAH, MO.","ACCIDENT","KANSAS CITY FSDO","N503GK","","","AIR TRACTOR","AT502","No","SUBSTANTIAL","AERIAL APPLICATION","UNKNOWN (UNK)","137","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","17-JUN-26","16-JUN-26","23:44:00Z","LAREDO","TEXAS","UNITED STATES","AIRCRAFT ATTEMPTED AN EMERGENCY LANDING ON A HIGHWAY AND STRUCK A VEHICLE AND CAUGHT ON FIRE, LAREDO, TX.","ACCIDENT","SAN ANTONIO FSDO","N523SQ","","NETJETS","TEXTRON","680","No","SUBSTANTIAL","ON DEMAND","EN ROUTE (ENR)","91K","FATAL","Yes","0","2","0","0","0","0","0","0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0"
