"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","03-AUG-26","02-AUG-26","19:13:00Z","HOUSTON","TEXAS","UNITED STATES","AIRCRAFT WAS IN RUNUP FOR DEPARTURE WHEN THE SURFACE COLLAPSED BENEATH THE FRONT MAIN GEAR, HOUSTON, TX.","INCIDENT","HOUSTON FSDO","N81TL","","","BEECH","200","No","UNKNOWN","PERSONAL","STANDING (STD)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-AUG-26","02-AUG-26","16:10:00Z","RIVERSIDE","CALIFORNIA","UNITED STATES","AIRCRAFT STRUCK A BIRD LEAVING A DENT IN THE RIGHT WING, RIVERSIDE, CA.","INCIDENT","RIVERSIDE FSDO","N303HV","","","BEECH","A36","No","MINOR","PERSONAL","APPROACH (APR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-AUG-26","01-AUG-26","15:30:00Z","CARSON CITY","NEVADA","UNITED STATES","AIRCRAFT VEERED OFF THE RUNWAY ON LANDING AND GEAR COLLAPSED, CARSON CITY, NV.","INCIDENT","RENO FSDO","N47740","","","PIPER","PA28R","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","22-JUL-26","25-JUN-26","12:00:00Z","ROGERSVILLE","TENNESSEE","UNITED STATES","AIRCRAFT PROPELLER STRUCK THE RUNWAY DURING LANDING.","INCIDENT","Nashville","N10719","","","MOONEY","M20J","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-JUL-26","22-JUL-26","23:06:00Z","ANCHORAGE","ALASKA","UNITED STATES","AIRCRAFT TOOK OF FROM LAKE HOOD AND ENGINE FAILED.","ACCIDENT","Anchorage","N180LW","","","CESSNA","180K","No","SUBSTANTIAL","PERSONAL","INITIAL CLIMB (ICL)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"No","23-JUL-26","22-JUL-26","11:33:00Z","READING","PENNSYLVANIA","UNITED STATES","AIRCRAFT EXPERIENCED A TAIL STIRKE DURING LANDING AND VEERED OFF THE RIGHT SIDE OF THE RUNWAY.","INCIDENT","Allentown","N782ND","","","PIPER","PA-44-180","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-AUG-26","29-JUL-26","14:05:00Z","TUSCUMBIA","ALABAMA","UNITED STATES","AIRCRAFT ROTOR STRUCK A TRUCK WHILE LANDING AT THE COMPANY HELIPAD, TUSCUMBIA, AL.","ACCIDENT","ALABAMA AND NW FLORIDA FSDO","N29AE","","","BELL","206","No","SUBSTANTIAL","AMBULANCE","LANDING (LDG)","91","NONE","No","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-AUG-26","01-AUG-26","15:00:00Z","STANSBURY ISLAND","UTAH","UNITED STATES","AIRCRAFT ON LANIDNG ENCOUNTERED A HEADWIND, LANDED HARD AND GEAR COLLAPSED, STANSBURY ISLAND, UT.","ACCIDENT","SALT LAKE CITY FSDO","N329DL","","","CUBCRAFTERS","CCX-2000","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-AUG-26","02-AUG-26","15:45:00Z","RENO","NEVADA","UNITED STATES","AIRCRAFT LEFT LANDING GEAR COLLAPSED ON LANDING, RENO, NV.","ACCIDENT","RENO FSDO","N7626K","","","PIPER","PA20","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-AUG-26","01-AUG-26","14:41:00Z","BLACKFOOT","IDAHO","UNITED STATES","AIRCRAFT LANDED HARD AND FLIPPED OVER, BLACKFOOT, ID.","ACCIDENT","SALT LAKE CITY FSDO","N37248","","","INTERSTATE AIRCRAFT","S-1A","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
