"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","25-MAR-26","24-MAR-26","15:40:00Z","GALVESTON","TEXAS","UNITED STATES","AIRCRAFT WAS PARKED DOING A RUN-UP AND WAS STRUCK BY N43000, GALVESTON, TX.","INCIDENT","HOUSTON FSDO","N351L","LTA3510","LIFT AIRCRAFT","DIAMOND","DA40","No","UNKNOWN","UNKNOWN","STANDING (STD)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","07-APR-26","07-APR-26","22:52:00Z","TETERBORO","NEW JERSEY","UNITED STATES","LANDED ON RUNWAY 24 BUT WAS UNABLE TO STOP, VEERED OFF THE LEFT SIDE OF THE RUNWAY, AND OVERRAN A PORTION OF THE EMAS. AIRCRAFT REPORTED BRAKE ISSUE","INCIDENT","TETERBORO","N732RJ","","","LEAR JET","LJ60","No","MINOR","ON DEMAND","LANDING (LDG)","","NONE","No","2","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","07-APR-26","06-APR-26","20:18:00Z","ATLANTA","GEORGIA","UNITED STATES","MADE A GEAR UP LANDING ON RUNWAY 27 FOR UNKNOWN REASONS.","INCIDENT","ATLANTA","N8105J","","","PIPER","PA28RT","No","MINOR","PERSONAL","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","07-APR-26","06-APR-26","18:00:00Z","SAN ANTONIO","TEXAS","UNITED STATES","DECLARED AN EMERGENCY DUE TO A BIRD STRIKE AND RETURNED TO SAT.  AIRCRAFT LANDED AND TAXIED TO PARKING WITHOUT FURTHER
INCIDENT. PILOT REPORTED DAMAGE TO THE LEFT WINGLET.","INCIDENT","SAN ANTONIO","N307MD","","","DASSAULT","F2TH","No","MINOR","CORPORATE","INITIAL CLIMB (ICL)","","NONE","No","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","07-APR-26","06-APR-26","01:10:00Z","SEGUIN","TEXAS","UNITED STATES","(INSTRUCTOR/STUDENT) HAD A HARD LANDING DURING TOUCH-N-GO, DETACHING RIGHT MAIN GEAR (WHICH WAS RELAYED TO PILOT BY SOMEONE ON THE GROUND VIA CTAF). ACFT LANDED JUST SHORT OF RWY36, DOING FURTHER DAMAGE TO ACFT","ACCIDENT","SAN ANTONIO","N249CT","","","FLIGHT DESIGN","CTSW","No","SUBSTANTIAL","INSTRUCTION","LANDING (LDG)","","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","07-APR-26","06-APR-26","21:33:00Z","MILWAUKEE","WISCONSIN","UNITED STATES","DECLARED AN EMERGENCY DUE TO A LEFT RUDDER ISSUE AND DIVERTED TO MKE. ACFT LANDED AND VEERED OFF RWY 31,RESULTING IN A NOSE GEAR COLLAPSE AND PROP STRIKE","ACCIDENT","MILWAUKEE","N890DM","","","MILLER, DAVID","TRI-Q 200","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","07-APR-26","06-APR-26","21:19:00Z","WASILLA","ALASKA","UNITED STATES","REPORTED ENGINE ISSUES DURING TAKEOFF AND CLIPPED TREES AT THE END OF THE RUNWAY. AIRCRAFT CAME TO REST IN THE TREES.","INCIDENT","ANCHORAGE","N93ML","","","MAULE","M7","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","07-APR-26","06-APR-26","00:00:00Z","SAN ANTONIO","TEXAS","UNITED STATES","DURING DEPARTURE RWY10, ACFT VEERED LEFT (NEVER ROTATED) INTO THE GRASS, AND HIT A POTHOLE OR DITCH, RESULTING IN
DETACHMENT OF THE NOSE WHEEL. PILOT APPLIED RIGHT RUDDER, BUT WITH NO EFFECT.","INCIDENT","SAN ANTONIO","N349AF","","","DIAMOND","DA40","No","UNKNOWN","INSTRUCTION","TAKEOFF (TOF)","","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","07-APR-26","06-APR-26","21:30:00Z","TAHLEQUAH","OKLAHOMA","UNITED STATES","DURING LANDING RWY 17, ACFT VEERED OFF THE LEFT SIDE OF THE RUNWAY AND FLIPPED INVERTED.","ACCIDENT","OKLAHOMA CITY","N1203F","","","CESSNA","172N","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","07-APR-26","06-APR-26","15:10:00Z","MANASSAS","VIRGINIA","UNITED STATES","AIRCRAFT LANDED GEAR UP, MANASSAS, VA.","INCIDENT","WASHINGTON FSDO","N796WM","","","NORTH AMERICAN","AT-6D","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","27-MAR-26","27-MAR-26","02:01:00Z","NEW SMYRNA BEACH","FLORIDA","UNITED STATES","AIRCRAFT STRUCK A BIRD AND POST FLIGHT INSPECTION REVEALED A DENT ON THE LEFT WING, NEW SMYRNA BEACH, FL.","INCIDENT","ORLANDO FSDO","N254EP","EPI254","EPIC FLIGHT ACADEMY","TEXTRON","172","No","UNKNOWN","FAR 141 PILOT SCHOOL","APPROACH (APR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","27-MAR-26","26-MAR-26","14:45:00Z","MILLVILLE","NEW JERSEY","UNITED STATES","AIRCRAFT BOUNCED ON LANDING AND INCURRED A PROP STRIKE, MILLVILLE, NJ.","INCIDENT","PHILADELPHIA FSDO","N817FG","","","TEXTRON","172","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","27-MAR-26","26-MAR-26","16:20:00Z","HOUSTON","TEXAS","UNITED STATES","AIRCRAFT ABORTED TAKEOFF DUE TO PROPELLER SPINNER FALLING OFF, HOUSTON, TX.","INCIDENT","HOUSTON FSDO","N1137P","","","PIPISTREL","SINUS 912","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
