"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","29-APR-25","28-APR-25","20:40:00Z","LANCASTER","TEXAS","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND CRASHED IN A FIELD, LANCASTER, TX.","ACCIDENT","NORTH TEXAS FSDO","N501MS","","","BEECH","C90","No","UNKNOWN","PERSONAL","UNKNOWN (UNK)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"No","29-APR-25","28-APR-25","20:05:00Z","LAKEVIEW","OREGON","UNITED STATES","AIRCRAFT LANDED AND VEERED OFF RUNWAY INTO A DITCH, LAKEVIEW, OR.","ACCIDENT","PORTLAND FSDO","N4505R","","","PIPER","PA28","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"No","29-APR-25","28-APR-25","22:13:00Z","NANWALEK","ALASKA","UNITED STATES","AIRCRAFT CRASHED FOR UNKNOWN REASONS ON THE RUNWAY AND WENT INTO THE WATER AT THE END OF THE RUNWAY, NANWALEK, AK.","ACCIDENT","ANCHORAGE FSDO","N91025","","SMOKEY BAY AIR","CESSNA","T207","No","SUBSTANTIAL","ON DEMAND","UNKNOWN (UNK)","135","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"No","29-APR-25","27-APR-25","04:00:00Z","SAN ANTONIO","TEXAS","UNITED STATES","AIRCRAFT DECLARED AN EMERGENCY AND MADE AN EMERGENCY LANDING IN A RESIDENTIAL NEIGHBORHOOD, SAN ANTONIO, TX.","INCIDENT","SAN ANTONIO FSDO","N488AE","","","BELL","407","No","NONE","AMBULANCE","EN ROUTE (ENR)","135","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","29-APR-25","29-APR-25","03:52:00Z","CHANTILLY","VIRGINIA","UNITED STATES","AIRCRAFT STRUCK A BIRD ON FINAL FOR RUNWAY, CHANTILLY, VA.","INCIDENT","WASHINGTON FSDO","N88359","ASH6362","UNITED AIRLINES","EMBRAER","ERJ 170-200 LR","No","MINOR","COMMERCIAL","APPROACH (APR)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","30-APR-25","29-APR-25","14:30:00Z","LAKE CRESCENT","FLORIDA","UNITED STATES","AIRCRAFT CRASHED INTO THE LAKE FOR UNKNOWN REASONS WHILE CONDUCTING A TOUCH AND GO, LAKE CRESCENT, FL.","ACCIDENT","ORLANDO FSDO","N694W","","","AVIAT AIRCRAFT","A-1B","No","SUBSTANTIAL","PERSONAL","MANEUVERING (MNV)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","30-APR-25","26-APR-25","15:23:00Z","JACKSONVILLE","TEXAS","UNITED STATES","AIRCRAFT ON A TEST FLIGHT, LANDED INVERTED DUE TO A WIND GUST, JACKSONVILLE, TX.","ACCIDENT","NORTH TEXAS FSDO","N7770J","","","JUST AIRCRAFT","HIGHLANDER","No","SUBSTANTIAL","OTHER","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","30-APR-25","29-APR-25","13:53:00Z","JACKSONVILLE","FLORIDA","UNITED STATES","AIRCRAFT MADE A PRECAUTIONARY LANDING IN A FIELD, JACKSONVILLE, FL.","INCIDENT","ORLANDO FSDO","N92JP","","","BELL","407","No","NONE","PUBLIC USE","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","30-APR-25","29-APR-25","20:08:00Z","COTTONWOOD","CALIFORNIA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES AND POST CRASH FIRE, COTTONWOOD, CA.","ACCIDENT","SACRAMENTO FSDO","N6310N","","","CHAMPION","7ECA","No","DESTROYED","PERSONAL","UNKNOWN (UNK)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Yes","30-APR-25","29-APR-25","12:40:00Z","ST JOHNS","Newfoundland and Labrador","CANADA","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, ST JOHNS, NL.","ACCIDENT","LOS ANGELES IFO","N4025K","","","AIR TRACTOR","AT802","Yes","UNKNOWN","FERRY","EN ROUTE (ENR)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
