"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","15-DEC-25","13-DEC-25","18:19:00Z","CHANTILLY","VIRGINIA","UNITED STATES","AIRCRAFT NO. 1 ENGINE AND ENGINE COWLING SEPARATED AND CAUGHT FIRE ON DEPARTURE, RETURNED TO IAD, CHANTILLY, VA.","INCIDENT","WASHINGTON FSDO","N78004","UAL803","UNITED AIRLINES","BOEING","777","No","UNKNOWN","COMMERCIAL","TAKEOFF (TOF)","121","NONE","No","2","0","0","0","0","5","0","0","0","0","290","0","0","0","0","0","0","0","0","0"
"No","16-DEC-25","15-DEC-25","17:00:00Z","LAS VEGAS","NEVADA","UNITED STATES","AIRCRAFT ON POST FLIGHT INSPECTION AND DAMAGE WAS FOUND TO THE TAIL ROTOR, LAS VEGAS, NV.","ACCIDENT","LAS VEGAS FSDO","N404LL","","","BELL","407","No","SUBSTANTIAL","AMBULANCE","STANDING (STD)","135","NONE","No","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"No","16-DEC-25","13-DEC-25","18:30:00Z","CARSON CITY","NEVADA","UNITED STATES","AIRCRAFT LANDED GEAR UP, CARSON CITY, NV.","ACCIDENT","RENO FSDO","N817D","","","PORTO AVIATION","RISEN SV","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-DEC-25","15-DEC-25","05:10:00Z","LITTLE ROCK","ARKANSAS","UNITED STATES","AIRCRAFT STRUCK A BIRD DAMAGING THE LEFT WING, LITTLE ROCK, AR.","INCIDENT","LITTLE ROCK FSDO","N827SK","EDV4902","ENDEAVOR","BOMBARDIER","CL-600-2D24","No","UNKNOWN","COMMERCIAL","APPROACH (APR)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-DEC-25","15-DEC-25","22:48:00Z","AUSTIN","TEXAS","UNITED STATES","AIRCRAFT EXPERIENCED A BLOWN TIRE ON LANDING AND INCURRED A PROP STRIKE, AUSTIN, TX.","INCIDENT","SAN ANTONIO FSDO","N240CT","","","CESSNA","172","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","16-DEC-25","15-DEC-25","15:44:00Z","NEW MARKET","TENNESSEE","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND MADE A FORCED LANDING IN A FIELD, NEW MARKET, TN.","INCIDENT","NASHVILLE FSDO","N51365","","","CESSNA","150","No","UNKNOWN","INSTRUCTION","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","16-DEC-25","15-DEC-25","18:49:00Z","TRACY","CALIFORNIA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND CRASHED IN A FIELD, TRACY, CA.","INCIDENT","OAKLAND FSDO","N360FV","","","BEECHCRAFT","G36","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-DEC-25","31-OCT-25","14:35:00Z","SARATOGA SPRINGS","NEW YORK","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES AFTER DEPARTURE, SARATOGA SPRINGS, NY.","ACCIDENT","FARMINGDALE FSDO","N79338","","","MOONEY","M20E","No","SUBSTANTIAL","PERSONAL","TAKEOFF (TOF)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"No","03-DEC-25","31-OCT-25","20:46:00Z","CINCINNATI","OHIO","UNITED STATES","AIRCRAFT DECLARED AN EMERGENCY AFTER PART OF THE ENGINE COWLING CAME OFF DURING A MAINTENANCE FLIGHT, CINCINNATI, OH.","INCIDENT","CINCINNATI FSDO","N13CA","","","PIPER","PA31","No","MINOR","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-DEC-25","31-OCT-25","22:55:00Z","DAYTON","TENNESSEE","UNITED STATES","AIRCRAFT GEAR COLLAPSE ON TAXI, DAYTON, TN.","INCIDENT","NASHVILLE FSDO","N222FT","","","CONSOLODATED VULLTEE PBY","28-5ACF","No","UNKNOWN","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-DEC-25","31-OCT-25","19:15:00Z","FRIDAY HARBOUR","WASHINGTON","UNITED STATES","AIRCRAFT FRONT LANDING GEAR COLLAPSED ON LANDING, FRIDAY HARBOUR, WA.","ACCIDENT","SEATTLE FSDO","N9234N","","","MAULE","M-7-235","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-DEC-25","02-DEC-25","19:55:00Z","HOUSTON","TEXAS","UNITED STATES","AIRCRAFT VEERED OFF TAXIWAY DURING TAXI FOR DEPARTURE, HOUSTON, TX.","INCIDENT","HOUSTON FSDO","N404PG","","","CESSNA","525","No","UNKNOWN","PERSONAL","TAXI (TXI)","91","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-DEC-25","02-DEC-25","23:00:00Z","AUBURN","CALIFORNIA","UNITED STATES","AIRCRAFT ON TAKEOFF, VEERED OFF RUNWAY BECAME AIRBORNE AND TAIL STRUCK A POWER CONTROL BOX ON SIDE OF THE RUNWAY, AUBURN, CA.","INCIDENT","SACRAMENTO FSDO","N1141M","","","CESSNA","172","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","03-DEC-25","02-DEC-25","19:20:00Z","BEDFORD","MASSACHUSETTS","UNITED STATES","AIRCRAFT PARKED ON THE RAMP DURING PREFLIGHT AND WAS STRUCK BY A FBO TRANSIT VAN DAMAGING THE LEFT WING, BEDFORD, MA.","INCIDENT","BOSTON FSDO","N998CA","","","CANADAIR","CL-600-2B19","No","UNKNOWN","ON DEMAND","STANDING (STD)","135","NONE","No","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-DEC-25","31-OCT-25","21:40:00Z","PINEHURST","NORTH CAROLINA","UNITED STATES","AIRCRAFT LANDED GEAR-UP, PINEHURST, NC","INCIDENT","GREENSBORO FSDO","N96MM","","","MOONEY","M22","No","MINOR","PERSONAL","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-DEC-25","12-DEC-25","00:00:00Z","NORTH MACEDONIA","MACEDONIA","MACEDONIA","AIRCRAFT EXPERIENCED ENGINE ISSUES AND DITCHED IN LAKE MAVROVO, NORTH MACEDONIA, MACEDONIA.","ACCIDENT","NEW YORK IFO","N5005W","","","PIPER","PA28","No","DESTROYED","PERSONAL","EN ROUTE (ENR)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"No","15-DEC-25","12-DEC-25","23:10:00Z","MONTGOMERY","NEW YORK","UNITED STATES","AIRCRAFT LANDED AND LEFT MAIN GEAR COLLAPSED, MONTGOMERY, NY.","ACCIDENT","TETERBORO FSDO","N408SA","","","DIAMOND","DA42","No","SUBSTANTIAL","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","15-DEC-25","13-DEC-25","20:07:00Z","DILLEY","TEXAS","UNITED STATES","AIRCRAFT EXPERIENCED A HARD LANDING AFTER TAKEOFF IN A FIELD AND CAME TO REST ON ITS SIDE, DILLEY, TX.","ACCIDENT","SAN ANTONIO FSDO","N8655","","","BELL","505","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"No","15-DEC-25","13-DEC-25","01:00:00Z","PALMER","ALASKA","UNITED STATES","AIRCRAFT ON LANDING AND EXPERIENCED WIND SHEAR AND BECAME INVERTED, PALMER, AK.","ACCIDENT","ANCHORAGE FSDO","N20305","","","CESSNA","172","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-DEC-25","14-DEC-25","15:13:00Z","NEW YORK","NEW YORK","UNITED STATES","AIRCRAFT TAXIING TO DEICING AREA AND STRUCK A POLE WITH LEFT WING, NEW YORK, NY.","INCIDENT","FARMINGDALE FSDO","N988JT","JBU2223","JET BLUE AIRWAYS","AIRBUS","A321","No","UNKNOWN","COMMERCIAL","TAXI (TXI)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-DEC-25","12-DEC-25","17:25:00Z","ATLANTA","GEORGIA","UNITED STATES","AIRCRAFT LANDED GEAR UP, ATLANTA, GA.","INCIDENT","ATLANTA FSDO","N37RR","","","PIPISTREL","PANTHERA X152","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-DEC-25","13-DEC-25","16:28:00Z","EL DORADO","ARKANSAS","UNITED STATES","AIRCRAFT EXPERIENCED A SMALL FIRE IN THE ENGINE AREA AFTER TAXIING TO THE RAMP AND FIRE WAS EXTINGUISHED, EL DORADO, AR.","INCIDENT","LITTLE ROCK FSDO","N82LL","","","PIPER","PA46","No","UNKNOWN","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-DEC-25","13-DEC-25","18:06:00Z","BAYOU LA BATRE","ALABAMA","UNITED STATES","AIRCRAFT DEPARTED AND CRASHED UNDER UNKNOWN CIRCUMSTANCES, BAYOU LA BATRE, AL.","ACCIDENT","ALABAMA AND NW FLORIDA FSDO","N157WB","","","AMERICAN CHAMPION","8KCAB","No","UNKNOWN","PERSONAL","MANEUVERING (MNV)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-DEC-25","14-DEC-25","16:07:00Z","PHOENIX","ARIZONA","UNITED STATES","AIRCRAFT CRASHED INTO THE REAR OF N506AV ON THE TAXIWAY, PHOENIX, AZ.","INCIDENT","SCOTTSDALE FSDO","N110Y","","","WACO","RNF","No","UNKNOWN","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-DEC-25","14-DEC-25","16:07:00Z","PHOENIX","ARIZONA","UNITED STATES","AIRCRAFT ON TAXIWAY AND WAS STRUCK IN THE REAR BY N110Y, PHOENIX, AZ.","INCIDENT","SCOTTSDALE FSDO","N506AV","","","CIRRUS","SR20","No","UNKNOWN","INSTRUCTION","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","15-DEC-25","12-DEC-25","23:20:00Z","ORLANDO","FLORIDA","UNITED STATES","AIRCRAFT LANDED GEAR UP DUE TO ELECTRICAL FAILURE, ORLANDO, FL.","INCIDENT","ORLANDO FSDO","N321WM","","","BEECH","58","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","15-DEC-25","12-DEC-25","13:45:00Z","WEST GROVE","PENNSYLVANIA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND MADE AN EMERGENCY LANDING IN A FIELD, WEST GROVE, PA.","INCIDENT","PHILADELPHIA FSDO","N9167C","","","CESSNA","150","No","NONE","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","10-DEC-25","09-DEC-25","19:16:00Z","PEABODY","KANSAS","UNITED STATES","AIRCRAFT MADE AN EMERGENCY LANDING IN A FIELD, PEABODY, KS.","INCIDENT","WICHITA FSDO","N6366R","","","PIPER","PA28","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","11-DEC-25","10-DEC-25","12:41:00Z","HOUSTON","TEXAS","UNITED STATES","AIRCRAFT STRUCK A DEER ON LANDING AND LEFT GEAR COLLAPSED, HOUSTON, TX.","INCIDENT","HOUSTON FSDO","N6058F","","","PIPER","PA28","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","11-DEC-25","09-DEC-25","16:30:00Z","ANNISTON","ALABAMA","UNITED STATES","AIRCRAFT LANDED ON A SLOPE WHICH RESULTED IN A ROTOR STRIKE TO THE WIRE PROTECTION SYSTEM, ANNISTON, AL.","INCIDENT","ALABAMA AND NW FLORIDA FSDO","N24QT","","","BELL","429","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"No","11-DEC-25","10-DEC-25","16:50:00Z","TUCSON","ARIZONA","UNITED STATES","AIRCRAFT ON LANDING AND BOTH MAIN STRUTS COLLAPSED, TUCSON, AZ.","INCIDENT","SCOTTSDALE FSDO","N951TX","","","TITAN","T-51 MUSTANG","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","11-DEC-25","10-DEC-25","16:45:00Z","DALLAS","TEXAS","UNITED STATES","AIRCRAFT LANDED AND VEERED OFF TAXIWAY INTO THE GRASS INCURRING A PROP STRIKE, DALLAS, TX.","INCIDENT","NORTH TEXAS FSDO","N111KU","","","CESSNA","425","No","UNKNOWN","CORPORATE","LANDING (LDG)","91","NONE","No","2","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0"
"No","12-DEC-25","11-DEC-25","17:00:00Z","FORT PIERCE","FLORIDA","UNITED STATES","AIRCRAFT STRUCK A LIGHT POLE WITH THE LEFT WING WHILE TAXIING ON THE RAMP, FORT PIERCE, FL.","INCIDENT","ORLANDO FSDO","N620AC","","","PIPER","PA28","No","UNKNOWN","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","12-DEC-25","10-DEC-25","01:30:00Z","EUREKA","MONTANA","UNITED STATES","AIRCRAFT ON LANDING ROLL OUT, THE RIGHT WING LIFTED AND THE LEFT WING DROPPED MAKING CONTACT WITH THE PAVEMENT AND GROUND LOOPED GOING INTO A DITCH, EUREKA, MT.","ACCIDENT","HELENA FSDO","N339X","","","MAULE","M5","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","12-DEC-25","11-DEC-25","19:40:00Z","PELL CITY","ALABAMA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED IN A FIELD, PELL CITY, AL.","INCIDENT","ALABAMA AND NW FLORIDA FSDO","N917WC","","","CESSNA","TU206","No","UNKNOWN","PERSONAL","APPROACH (APR)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"No","12-DEC-25","11-DEC-25","18:58:00Z","JACKSONVILLE","FLORIDA","UNITED STATES","AIRCRAFT STRUCK A BIRD AND POST FLIGHT INSPECTION REVEALED DAMAGE UNDER THE CAPTAIN'S WINDOW, JACKSONVILLE, FL.","INCIDENT","ORLANDO FSDO","N565NN","JIA5590","PSA AIRLINES","BOMBARDIER","CL-600-2D24","No","MINOR","COMMERCIAL","APPROACH (APR)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","12-DEC-25","09-DEC-25","00:42:00Z","SAN ANTONIO","TEXAS","UNITED STATES","AIRCRAFT STRUCK A BIRD, SAN ANTONIO, TX.","INCIDENT","SAN ANTONIO FSDO","N400LV","","","CESSNA","560XLS","No","UNKNOWN","PERSONAL","APPROACH (APR)","91","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","12-DEC-25","11-DEC-25","19:49:00Z","DALLAS","TEXAS","UNITED STATES","AIRCRAFT ABORTED TAKEOFF DUE TO COWLING COMING OFF, DALLAS, TX.","INCIDENT","NORTH TEXAS FSDO","N817SA","","","PILATUS","PC12","No","MINOR","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
