"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","22-APR-26","21-APR-26","19:05:00Z","DALLAS","TEXAS","UNITED STATES","AIRCRAFT STRUCK A BIRD ON LANDING DAMAGING NOSE CONE, DALLAS, TX.","INCIDENT","NORTH TEXAS FSDO","N439WN","SWA2676","SOUTHWEST AIRLINES","BOEING","737","No","UNKNOWN","COMMERCIAL","LANDING (LDG)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","22-APR-26","21-APR-26","22:20:00Z","TERRE HAUTE","INDIANA","UNITED STATES","AIRCRAFT LANDED GEAR UP, TERRE HAUTE, IN.","INCIDENT","INDIANAPOLIS FSDO","N73T","","","PIPER","PA24","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","22-APR-26","22-APR-26","02:30:00Z","NEW YORK","NEW YORK","UNITED STATES","AIRCRAFT STRUCK A BIRD AND POST FLIGHT INSPECTION REVEALED DAMAGE TO RADOME AND FUSELAGE, NEW YORK, NY.","INCIDENT","FARMINGDALE FSDO","N295PQ","EDV5047","ENDEAVOR AIR","BOMBARDIER","C--600-2D24","No","MINOR","COMMERCIAL","APPROACH (APR)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","22-APR-26","21-APR-26","15:25:00Z","MINNEAPOLIS","MINNESOTA","UNITED STATES","AIRCRAFT LANDED AND VEERED OFF RUNWAY INTO THE GRASS STRIKING A TAXIWAY LIGHT, MINNEAPOLIS, MN.","INCIDENT","MINNEAPOLIS FSDO","N4337V","","","PIPER","PA28","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","22-APR-26","22-APR-26","01:27:00Z","ESPANOLA","NEW MEXICO","UNITED STATES","AIRCRAFT HAD A LEFT WING STRIKE AFTER LANDING DUE TO WIND, ESPANOLA, NM.","INCIDENT","ALBUQUERQUE FSDO","N6762S","","","CESSNA","150","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","22-APR-26","21-APR-26","15:15:00Z","MESA","ARIZONA","UNITED STATES","AIRCRAFT DECLARED MAYDAY DUE TO ENGINE ISSUES AND MADE AN EMERGENCY LANDING ON A ROAD, MESA, AZ.","INCIDENT","SCOTTSDALE FSDO","N8923J","","","PIPER","PA28","No","UNKNOWN","PERSONAL","APPROACH (APR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-APR-26","22-APR-26","23:43:00Z","PALMER","ALASKA","UNITED STATES","AIRCRAFT LANDING AT FRIDAY CREEK, GROUND LOOPED AND FLIPPED OVER, PALMER, AK.","ACCIDENT","ANCHORAGE FSDO","N4136E","","","PIPER","PA18","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-APR-26","22-APR-26","17:10:00Z","DAYTONA BEACH","FLORIDA","UNITED STATES","AIRCRAFT STRUCK A BIRD AND POST FLIGHT INSPECTION REVEALED DAMAGE TO THE LEFT WING, DAYTONA BEACH, FL.","INCIDENT","ORLANDO FSDO","N327ER","","EMBRY RIDDLE AERONAUTICAL UNIVERSITY","DIAMOND","DA42","No","UNKNOWN","FAR 141 PILOT SCHOOL","APPROACH (APR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-APR-26","22-APR-26","23:57:00Z","LANETT","ALABAMA","UNITED STATES","AIRCRAFT LANDED AND WENT OFF THE END OF THE RUNWAY, NOSE GEAR COLLAPSED AND STRUCK A RUNWAY SIGN, LANETT, AL.","INCIDENT","ALABAMA AND NW FLORIDA FSDO","N5958W","","","PIPER","PA28","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-APR-26","22-APR-26","17:30:00Z","JANESVILLE","WISCONSIN","UNITED STATES","AIRCRAFT LANDED AND CAME TO REST ON ITS NOSE, JANESVILLE, WI.","INCIDENT","MILWAUKEE FSDO","N6316N","","","CHAMPION","7KCAB","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
