"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","04-MAY-26","02-MAY-26","20:02:00Z","DULUTH","MINNESOTA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND MADE A FORCED LANDING ON A HIGHWAY, DULUTH. MN.","INCIDENT","MINNEAPOLIS FSDO","N586ES","","","GLASAIR","GLASAIR","No","NONE","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-MAY-26","01-MAY-26","16:30:00Z","FAUQUIER","VIRGINIA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED IN A FIELD, FAUQUIER, VA.","INCIDENT","RICHMOND FSDO","N602RH","","","AIR TRACTOR","AT602","No","UNKNOWN","AERIAL APPLICATION","MANEUVERING (MNV)","137","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-MAY-26","03-MAY-26","19:03:00Z","ROCHESTER","NEW YORK","UNITED STATES","AIRCRAFT MADE AN EMERGENCY LANDING IN A PARKING LOT, ROCHESTER, NY.","INCIDENT","ROCHESTER FSDO","N651MC","","MERCY FLIGHT","AGUSTAWESTLAND","AW119MKII","No","UNKNOWN","AMBULANCE","EN ROUTE (ENR)","135","NONE","No","1","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-MAY-26","02-MAY-26","17:52:00Z","LEESBURG","FLORIDA","UNITED STATES","AIRCRAFT LANDED AND INCURRED A PROP STRIKE, LEESBURG, FL.","INCIDENT","ORLANDO FSDO","N712WK","","","COSTRUZIONI AERONAUTICHE TECNA","P2010","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-MAY-26","02-MAY-26","23:37:00Z","AURORA","OREGON","UNITED STATES","AIRCRAFT GEAR COLLAPSED ON LANDING AND GROUND LOOPED, AURORA, OR.","INCIDENT","PORTLAND FSDO","N2457B","","","TEMCO","GC-1B","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-MAY-26","01-MAY-26","15:00:00Z","CHESTER","CONNECTICUT","UNITED STATES","AIRCRAFT LANDED GEAR UP, CHESTER, CT.","INCIDENT","BRADLEY FSDO","N4383K","","","RYAN","NAVION","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","28-APR-26","27-APR-26","19:14:00Z","ELK GROVE","CALIFORNIA","UNITED STATES","HOT AIR BALLOON TETHERED AT A GROUNDBREAKING CEREMONY, BROKE LOOSE AND CRASHED INTO THE CASINO AND POWER LINES, ELK GROVE, CA.","INCIDENT","SACRAMENTO FSDO","N355WC","","","BALONY KUBICEK SPOL","BB100Z","No","UNKNOWN","UNKNOWN","STANDING (STD)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","28-APR-26","27-APR-26","20:41:00Z","PRESCOTT","ARIZONA","UNITED STATES","AIRCRAFT ON LANDING, VEERED OFF RUNWAY AND NOSE GEAR COLLAPSED INCURRING A PROP STRIKE, PRESCOTT, AZ.","INCIDENT","SCOTTSDALE FSDO","N904TM","","","PIPER","PA46","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","28-APR-26","26-APR-26","21:30:00Z","DENTON","TEXAS","UNITED STATES","AIRCRAFT PERFORMING A SIMULATED ENGINE OUT PROCEDURE, BOUNCED HARD ON THE RUNWAY AND WENT AROUND THEN LANDED.  POST FLIGHT INSPECTION REVEALED DAMGE TO THE LANDING GEAR, DENTON, TX.","INCIDENT","NORTH TEXAS FSDO","N983AA","","","COSTRUZIONI AERONAUTICHE TECNA","P2010","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","28-APR-26","28-APR-26","02:54:00Z","ABILENE","TEXAS","UNITED STATES","AIRCRAFT LANDED AND VEERED OFF RUNWAY DAMAGING THE LANDING LIGHT, ABILENE, TX.","INCIDENT","LUBBOCK FSDO","N5014S","","","PIPER","PA32","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-MAY-26","02-MAY-26","21:12:00Z","PUNTA GORDA","FLORIDA","UNITED STATES","AIRCRAFT LANDED HARD AND POST FLIGHT INSPECTION REVEALED PROP AND NOSE GEAR DAMAGE, PUNTA GORDA, FL.","INCIDENT","TAMPA FSDO","N4951Y","","","CESSNA","T210","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-MAY-26","03-MAY-26","17:30:00Z","RUSSELLVILLE","ARKANSAS","UNITED STATES","AIRCRAFT LOST CONTROL DURING LANDING AND VEERED OFF RUNWAY CAUSING THE TAIL WHEEL TO SNAP OFF, RUSSELLVILLE, AR.","INCIDENT","LITTLE ROCK FSDO","N5235D","","","CESSNA","180","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-MAY-26","02-MAY-26","20:23:00Z","VICTORIA","TEXAS","UNITED STATES","AIRCRAFT VEERED OFF RUNWAY DUE TO A CROSSWIND AND BECAME STUCK IN THE MUD, VICTORIA, TX.","INCIDENT","SAN ANTONIO FSDO","N7008T","","","CESSNA","172","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-MAY-26","01-MAY-26","23:38:00Z","NEW SALEM","MASSACHUSETTS","UNITED STATES","AIRCRAFT CRASHED IN THE VICINITY OF QUABBIN RESERVOIR DUE TO ENGINE ISSUES SHORTLY AFTER TAKEOFF, NEW SALEM, MA.","ACCIDENT","BRADLEY FSDO","N8618H","","","NORTH AMERICAN","NAVION","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","28-APR-26","27-APR-26","19:13:00Z","CLEVELAND","OHIO","UNITED STATES","AIRCRAFT EXPERIENCED A LEFT MAIN GEAR SHIMMY DURING LANDING AND BECAME DISABLED ON TAXIWAY DUE TO A HYDRAULIC LEAK AND POST FLIGHT INSPECTION FOUND DAMAGE TO THE SCISSOR ARM, CLEVELAND, OH.","INCIDENT","CLEVELAND FSDO","N491WB","","","HAWKER BEECHCRAFT","900XP","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-MAY-26","02-MAY-26","21:30:00Z","FAIRFAX","MINNESOTA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES, DECLARED AN EMERGENCY AND LANDED IN A FIELD, FAIRFAX, MN.","INCIDENT","MINNEAPOLIS FSDO","N8839T","","","CESSNA","182","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-MAY-26","01-MAY-26","18:59:00Z","MANHATTAN","KANSAS","UNITED STATES","AIRCRAFT CONDUCTING A TOUCH-AND-GO LANDING, VEERED OFF RUNWAY AND CAME TO REST NOSE DOWN IN THE GRASS, MANHATTAN, KS.","INCIDENT","WICHITA FSDO","N9519S","","","CHAMPION","7ECA","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
