"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","29-MAY-26","28-MAY-26","18:00:00Z","NORFOLK","VIRGINIA","UNITED STATES","AIRCRAFT LANDED HARD AND BOUNCED, THE LEFT WING STRUCK A TAXIWAY SIGN, NORFOLK, VA.","INCIDENT","RICHMOND FSDO","N55739","","","PIPER","PA28","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","29-MAY-26","28-MAY-26","22:07:00Z","CONCORD","CALIFORNIA","UNITED STATES","AIRCRAFT NOSE GEAR BROKE OFF ON LANDING, CONCORD, CA.","INCIDENT","OAKLAND FSDO","N702MD","","","VANS","RV12","No","MINOR","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-JUN-26","31-MAY-26","21:15:00Z","ALBUQUERQUE","NEW MEXICO","UNITED STATES","AIRCRAFT MADE A HARD LANDING, VEERED OFF RUNWAY INTO THE GRASS AND FLIPPED OVER, ALBUQUERQUE, NM.","ACCIDENT","ALBUQUERQUE FSDO","N555ED","","","MOONEY","M20J","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-JUN-26","29-MAY-26","21:28:00Z","BEAUMONT","TEXAS","UNITED STATES","AIRCRAFT MADE AN EMERGENCY LANDING IN A PASTURE DUE TO ENGINE ISSUES, BEAUMONT, TX.","INCIDENT","HOUSTON FSDO","N650MA","","","CESSNA","T206","No","UNKNOWN","OTHER","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-JUN-26","29-MAY-26","19:42:00Z","SHELTON","WASHINGTON","UNITED STATES","AIRCRAFT LANDED SHORT OF THE RUNWAY AND FRONT GEAR COLLAPSED INCURRING A PROP STRIKE, SHELTON, WA.","INCIDENT","SEATTLE FSDO","N661WA","","","CESSNA","208","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-JUN-26","01-JUN-26","04:05:00Z","PASCO","WASHINGTON","UNITED STATES","AIRCRAFT BOUNCED ON LANDING AND NOSED OVER, PASCO, WA.","ACCIDENT","SPOKANE FSDO","N4179N","","","CESSNA","140","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-JUN-26","30-MAY-26","16:13:00Z","AMERY","WISCONSIN","UNITED STATES","AIRCRAFT CRASHED WHILE ATTEMPTING TO MAKE AN EMERGENCY LANDING AFTER EXPERIENCING ENGINE ISSUES, AMERY, WI.","ACCIDENT","MINNEAPOLIS FSDO","N6416L","","","AMERICAN AVIATION","AA-1A","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-JUN-26","01-JUN-26","00:30:00Z","MONTEVIDEO","MINNESOTA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES ON SHORT FINAL AND LANDED SHORT OF THE RUNWAY AND ALL GEARS BROKE OFF, MONTEVIDEO, MN.","ACCIDENT","MINNEAPOLIS FSDO","N15291","","","PIPER","PA28","No","SUBSTANTIAL","PERSONAL","APPROACH (APR)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-JUN-26","29-MAY-26","15:29:00Z","HOLLYWOOD","FLORIDA","UNITED STATES","AIRCRAFT CRASHED AFTER DEPARTURE FOR UNKNOWN REASONS, HOLLYWOOD, FL.","ACCIDENT","SOUTH FLORIDA FSDO","N96100","","","CESSNA","172","No","SUBSTANTIAL","PERSONAL","TAKEOFF (TOF)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-JUN-26","31-MAY-26","18:30:00Z","COLUMBUS","MISSISSIPPI","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES IN A DITCH, COLUMBUS, MS.","ACCIDENT","JACKSON FSDO","N1277P","","","PIPISTREL","SINUS","No","UNKNOWN","PERSONAL","UNKNOWN (UNK)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
