"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","17-MAR-26","15-MAR-26","15:00:00Z","COTTONWOOD","ARIZONA","UNITED STATES","AIRCRAFT PORPOISED ON LANDING AND POST FLIGHT INSPECTION REVEALED DAMAGE TO THE FUSELAGE, COTTONWOOD, AZ.","ACCIDENT","SCOTTSDALE FSDO","N178DR","","","CESSNA","177","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","17-MAR-26","17-MAR-26","05:37:00Z","ST LOUIS","MISSOURI","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUSMTANCES AND POST CRASH FIRE, ST LOUIS, MO.","ACCIDENT","ST LOUIS FSDO","N444CA","CTL18","CENTRAL AIR SOUTHWEST","AERO COMMANDER","500-B","No","SUBSTANTIAL","ON DEMAND","TAKEOFF (TOF)","135","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","17-MAR-26","16-MAR-26","21:00:00Z","PORTLAND","OREGON","UNITED STATES","AIRCRAFT LANDED AND WHILE TAXIING TO EXIT RUNWAY, THE NOSE GEAR COLLAPSED, PORTLAND, OR.","INCIDENT","PORTLAND FSDO","N212LG","","","LANCAIR","LEGACY","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","17-MAR-26","16-MAR-26","19:53:00Z","VACAVILLE","CALIFORNIA","UNITED STATES","AIRCRAFT LANDED GEAR UP, VACAVILLE, CA.","INCIDENT","SACRAMENTO FSDO","N666RJ","","","CESSNA","177RG","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","17-MAR-26","17-MAR-26","02:15:00Z","EUGENE","OREGON","UNITED STATES","AIRCRAFT LANDED GEAR UP, EUGENE, OR.","INCIDENT","PORTLAND FSDO","N4741S","","","CESSNA","TR182","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","17-MAR-26","16-MAR-26","23:30:00Z","TRENTON","NEW JERSEY","UNITED STATES","AIRCRAFT STRUCK THE LEFT WING TIP ON THE RUNWAY DUE TO CROSS WINDS, TRENTON, NJ.","INCIDENT","PHILADELPHIA FSDO","N719AV","SGX719","SLATE GLOBAL","CANADAIR","CL-600-2B19","No","UNKNOWN","ON DEMAND","LANDING (LDG)","135","NONE","No","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","11-MAR-26","10-MAR-26","02:00:00Z","MADISON","WISCONSIN","UNITED STATES","AIRCRAFT ENCOUNTERED LIGHT TURBULENCE OVER A LAKE WHILE INBOUND TO HOSPITAL HELIPORT AND POST FLIGHT INSPECTION REVEALED DAMAGE TO THE HORIZONTAL STABLIZER, MADISON, WI.","INCIDENT","MILWAUKEE FSDO","N103MT","","","EUROCOPTER","MBB-BK-117 C-2","No","UNKNOWN","AMBULANCE","EN ROUTE (ENR)","135","NONE","No","1","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","11-MAR-26","09-MAR-26","18:50:00Z","SOLON SPRINGS","WISCONSIN","UNITED STATES","AIRCRAFT ON LANDING, VEERED OFF RUNWAY AND STRUCK A SNOWBANK AND FLIPPED OVER, SOLON SPRINGS, WI.","ACCIDENT","MINNEAPOLIS FSDO","N61761","","","CESSNA","172","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","11-MAR-26","10-MAR-26","22:01:00Z","UNION","SOUTH CAROLINA","UNITED STATES","AIRCRAFT CRASHED IN A FIELD UNDER UNKNOWN CIRCUMSTANCES, UNION, SC.","ACCIDENT","COLUMBIA FSDO","N4832W","","","ROCKWELL INTERNATIONAL","114","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"No","11-MAR-26","10-MAR-26","18:17:00Z","LOS ANGELES","CALIFORNIA","UNITED STATES","AIRCRAFT LANDED AND POST FLIGHT INSPECTION REVEALED PARTS OF #2 ENGINE THRUST REVERSER WAS MISSING, LOS ANGELES, C.","INCIDENT","LOS ANGELES FSDO","N108NN","AAL373","AMERICAN AIRLINES","AIRBUS","A321","No","UNKNOWN","COMMERCIAL","UNKNOWN (UNK)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
