"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","08-SEP-26","06-SEP-26","01:00:00Z","LAKE STEVENS","WASHINGTON","UNITED STATES","CRASHED INTO RESIDENTIAL PROPERTY VCNTY FRONTIER AIRPARK (WN53). EYEWITNESS REPORTED ACFT ENGINE CUT OUT WHILE PERFORMING AEROBATICS THE PILOT WAS SERIOUSLY INJURED AND THE AIRCRAFT WAS SUBSTAINTIALLY DAMAGED","ACCIDENT","SEATTLE","N491X","","","SORRELL M/MCILRAITH G","PITTS MODEL 12","No","SUBSTANTIAL","AIR SHOW","MANEUVERING (MNV)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-SEP-26","06-SEP-26","19:00:00Z","MIAMI","FLORIDA","UNITED STATES","AFTER LANDING LONG ON RNWY 30  FAILED TO STOP, WENT THRU FENCE, OVER TWO ACTIVE ROADWAYS STRIKING SEVERAL VEHICLES, THE RIGHT WING BREACHED RESULTING IN POST CRASH FIRE, AIRCRAFT WENT INTO A FIELD.
","ACCIDENT","SOUTH FLORDIA FSDO","N1997A","CSB7598","PRIME AIR","BOEING","767","No","SUBSTANTIAL","CARGO","LANDING (LDG)","121","FATAL","Yes","","2","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","3","0","0","0","0","0","0","0"
"No","08-SEP-26","05-SEP-26","15:12:00Z","UNKOWN","UNKNOWN","UNITED STATES","IFR  N65KB, CIRRUS SR22, SPRINGBANK, CANADA (CYBW) - CAMPBELL RIVER, CANADA (CYBL), CRASHED UNDER UNKN CIRCUMSTANCES 2.5 SE
KANANASKIS, CANADA.","ACCIDENT","UNKNOWN","N65KB","","","CIRRUS","SR22","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"No","08-SEP-26","07-SEP-26","09:39:00Z","BENSON","ARIZONA","UNITED STATES","CRASHED UNDER UNKN CIRCUMSTANCES & HIT A TREE @ MADISON & FOUR FEATHERS LN IN BENSON, AZ.","ACCIDENT","SCOTTSDALE","N211RJ","","","FILIP RICHARD/FAKOWEE AVIA INC","T211 SP E","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-SEP-26","05-SEP-26","21:58:00Z","FRESNO","CALIFORNIA","UNITED STATES","A GRUMMAN AMERICAN AA-5 TRAVELER, CRASHED ATOP THE BLUFF OF THE SAN JOAQUIN RIVER IMMEDIATELY AFTER TAKEOFF FROM SIERRA SKY AIRPORT (E79), FRESNO, CALIFORNIA.","ACCIDENT","SAN JOSE","N6510L","","","GRUMMAN AMERICAN AVN. CORP.","AA-5","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0"
"No","08-SEP-26","06-SEP-26","06:15:00Z","LUDLOW","MASSACHUSETTS","UNITED STATES","CRASHED UNDER UNKN CIRCUMSTANCES IN WOODED AREA VCNTY LUDLOW","ACCIDENT","BOSTON","N7653F","","","PIPER","PA-28-181","No","SUBSTANTIAL","PERSONAL","UNKNOWN (UNK)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"No","08-SEP-26","05-SEP-26","01:40:00Z","GREENVILLE","NORTH CAROLINA","UNITED STATES","WHILE ATTEMPTING TO LAND RUNWAY 20 AIRCRAFT VEERED OFF THE RIGHT SIDE OF THE RUNWAY AFTER TOUCHDOWN FOR UNKNOWN REASONS.
ACFT EXECUTED GO-AROUND WHILE ADJACENT TO THE RUNWAY IN THE GRASS AND SUFFERED A TAIL STRIKE IN THE PROCCESS. AIRCRAFT THEN DIVERTED TO GSO AND LANDED WITHOUT INCIDENT.","INCIDENT","GREENSBORO","N295NV","AAY4413","","AIRBUS","A320","No","UNKNOWN","COMMERCIAL","LANDING (LDG)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-SEP-26","04-SEP-26","23:07:00Z","PORTLAND","OREGON","UNITED STATES","REPORTED A BIRD STRIKE DURING LANDING RUNWAY 10R. LANDED AND TAXIED TO PARKING WITHOUT INCIDENT. POST FLIGHT INSPECTION FOUND
DAMAGE TO THE NOSE CONE, #2 ENGINE COWLING, AND LEADING EDGE OF THE RIGHT WING.","INCIDENT","PORTLAND","N215HA","ASA839","","AIRBUS","A321","No","MINOR","COMMERCIAL","LANDING (LDG)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-SEP-26","06-SEP-26","22:50:00Z","ATLANTA","GEORGIA","UNITED STATES","CONTINUED TO ATL ANDLANDED WITHOUT FURTHER INCIDENT AFTER STRIKING A TURKEY VULTURE ON FINAL APPROACH TO RUNWAY 27L ATL. POST-FLIGHT INSPECTION REVEALED SLAT DAMAGE ON THE LEFT WING.","INCIDENT","ATLANTA","N993AT","DAL731","","BOEING","717-200","No","MINOR","COMMERCIAL","APPROACH (APR)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-SEP-26","06-SEP-26","01:37:00Z","ATLANTA","GEORGIA","UNITED STATES","WHILE TAXIING INTO GATE B1, STRUCK A CATERING TRUCK WITH THE LEFT WINGLET. AIRCRAFT CONTINUED INTO GATE AND DEPLANED AS
NORMAL. AIRSIDE OPS REPORTED DAMAGED WINGLET WILL BE REMOVED AND REPLACED.","INCIDENT","ATLANTA","N933DZ","DAL1946","","BOEING","737-900","No","MINOR","COMMERCIAL","TAXI (TXI)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
