"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","13-MAY-26","11-MAY-26","20:30:00Z","BENNETT","COLORADO","UNITED STATES","AIRCRAFT LANDED HARD, BENNETT, CO.","ACCIDENT","DENVER FSDO","N1355S","","","CESSNA","182","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-MAY-26","11-MAY-26","19:00:00Z","MOOSE CREEK RANGER STATION","IDAHO","UNITED STATES","AIRCRAFT ON ROLL OUT HIT A SOFT SPOT AND NOSED OVER, MOOSE CREEK RANGER STATION, ID.","ACCIDENT","SPOKANE FSDO","N333PK","","","VANS","RV6","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-MAY-26","12-MAY-26","17:53:00Z","TALLULAH","LOUISIANA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, TALLULAH, LA.","ACCIDENT","BATON ROUGE FSDO","N251CS","","","NORTH AMERICAN","F-51D","No","UNKNOWN","PERSONAL","MANEUVERING (MNV)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-MAY-26","12-MAY-26","12:34:00Z","AVON","MAINE","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES IN A WOODED AREA, AVON, ME.","ACCIDENT","PORTLAND ME FSDO","N61368","","","CESSNA","A185F","No","DESTROYED","PUBLIC USE","MANEUVERING (MNV)","","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-MAY-26","12-MAY-26","15:30:00Z","AMELIA COURT HOUSE","VIRGINIA","UNITED STATES","AIRCRAFT WAS ON LANDING AND STRUCK THE PHOTOGRAPHY WHO WAS TAKING PHOTOS OF THE LANDING, AMELIA COURT HOUSE, VA.","INCIDENT","RICHMOND FSDO","N8217W","","","I C A - BRASOV","IS-28B2","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","MINOR","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"No","13-MAY-26","12-MAY-26","03:00:00Z","CASA GRANDE","ARIZONA","UNITED STATES","AIRCRAFT STRUCK FOD ON LANDING, CASA GRANDE, AZ.","INCIDENT","SCOTTSDALE FSDO","N489AV","","WESTWIND SCHOOL OF AERONAUTICS","CIRRUS","SR20","No","MINOR","FAR 141 PILOT SCHOOL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-MAY-26","12-MAY-26","17:51:01Z","QUILCENE","WASHINGTON","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE FAILURE, FIRE AND SMOKE IN THE CABIN AND LANDED IN A FIELD, QUILCENE, WA.","INCIDENT","SEATTLE FSDO","N588C","","","STINSON","108","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-MAY-26","13-MAY-26","02:50:00Z","SANDPOINT","IDAHO","UNITED STATES","AIRCRAFT CRASHED ON LANDING, SANDPOINT, ID.","ACCIDENT","SPOKANE FSDO","N953CN","","","AVIPRO AIRCRAFT","BEARHAWK FOUR","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-MAY-26","12-MAY-26","23:53:00Z","SEDONA","ARIZONA","UNITED STATES","AIRCRAFT ON LANDING, VEERED OFF RUNWAY AND STRUCK AN AIRPORT SIGN, SEDONA, AZ.","ACCIDENT","SCOTTSDALE FSDO","N806DM","","","CIRRUS","SR20","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-MAY-26","13-MAY-26","03:58:00Z","DALLAS","TEXAS","UNITED STATES","AIRCRAFT COLLIDED WITH A ROOF-MOUNTED CAMERA ON TAKEOFF WHICH CAUSED LOSS OF POWER IN THE TAIL ROTOR AND LANDED HARD, DALLAS, TX.","INCIDENT","NORTH TEXAS FSDO","N652AE","","AIR EVAC","BELL","407","No","UNKNOWN","AMBULANCE","TAKEOFF (TOF)","135","NONE","No","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
