"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","31-JUL-25","30-JUL-25","13:51:00Z","TORONTO","CANADA","UNITED STATES","AIRCRAFT LOST A TIRE AND SUFFERED A COLLAPSED LEFT MAIN GEAR UPON LANDING","INCIDENT","UNK","N850EC","850","AIRCRAFT MANAGEMENT GROUP","HAWKER","850XP","No","UNKNOWN","UNKNOWN","LANDING (LDG)","","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-AUG-25","01-AUG-25","00:27:00Z","MORGAN","UTAH","UNITED STATES","AIRCRAFT IMPACTED A MOUNTAIN WHILE MANEUVERING.","ACCIDENT","SALT LAKE CITY FSDO","N929JK","","","SCHLEICHER","ASW27-18","No","DESTROYED","PERSONAL","MANEUVERING (MNV)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-AUG-25","01-AUG-25","17:30:00Z","ROCHESTER","NEW YORK","UNITED STATES","AIRCRAFT IMPACTED TERRAIN AFTER REPORTING AN ENGINE PROBLEM.","ACCIDENT","ROCHESTER FSDO","N28151","","","PIPER","J5C","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","FATAL","Yes","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"No","04-AUG-25","03-AUG-25","23:29:00Z","CLARKSTON","MONTANTA","UNITED STATES","AIRCRAFT IMPACTED TERRAIN UNDER UNKNOWN CIRCUMSTANCES.","ACCIDENT","HELENA FSDO","N750GT","","","ROBINSON","R44","No","SUBSTANTIAL","PERSONAL","UNKNOWN (UNK)","91","SERIOUS","No","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-AUG-25","02-AUG-25","23:25:00Z","OAK ISLAND","NORTH CAROLINA","UNITED STATES","AIRCRAFT IMPACTED THE OCEAN ABOUT 200 YARDS OFF THE COAST FOR UNKNOWN REASONS.","ACCIDENT","GREENSBORO FSDO","N784J","","","JABIRU","J230-D","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-AUG-25","02-AUG-25","18:42:00Z","CHISANA","ALASKA","UNITED STATES","AIRCRAFT LANDING GEAR COLLAPSED DURING LANDING.","ACCIDENT","FAIRBANKS FSDO","N900HY","","","AVIAT AIRCRAFT INC","A-1B","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-AUG-25","03-AUG-25","14:27:00Z","STAGECOACH","NEVADA","UNITED STATES","AIRCRAFT MADE AN EMERGENCY LANDING ON HIGHWAY AFTER A SECTION OF THE PROPELLER SEPARATED IN FLIGHT.","ACCIDENT","RENO FSDO","N8359W","","","PIPER","PA-28-180","No","SUBSTANTIAL","INSTRUCTION","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-AUG-25","01-AUG-25","20:50:00Z","GREEN LAKE","MAINE","UNITED STATES","AIRCRAFT FLIPPED OVER WHILE LANDING ON GREEN LAKE.","ACCIDENT","PORTLAND FSDO","N9493Z","","","CESSNA","C206","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-AUG-25","01-AUG-25","12:58:00Z","GAINESVILLE","TEXAS","UNITED STATES","AIRCRAFT PERFORMED A FORCED LANDING TO A FIELD AFTER A LOSS OF ENGINE POWER.","ACCIDENT","NORTH TEXAS FSDO","N62296","","","CESSNA","172P","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-AUG-25","02-AUG-25","23:05:00Z","CLEARWATER","FLORIDA","UNITED STATES","AIRCRAFT STRUCK A BIRD ON DEPARTURE RESULTING IN DAMAGE TO THE NUMBER 2 ENGINE.","INCIDENT","TAMPA FSDO","N325NV","AAY1070","ALLEGIANT","AIRBUS","A319-112","No","MINOR","COMMERCIAL","INITIAL CLIMB (ICL)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-AUG-25","03-AUG-25","13:17:00Z","SAN ANTONIO","TEXAS","UNITED STATES","AIRCRAFT STRUCK A BIRD DURING TAKEOFF.","INCIDENT","SAN ANTONIO FSDO","N335DN","DAL998","DELTA AIR LINES","AIRBUS","A321-213","No","MINOR","COMMERCIAL","TAKEOFF (TOF)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-AUG-25","03-AUG-25","02:47:00Z","FAYETTEVILLE","ARKANSAS","UNITED STATES","AIRCRAFT NOSE LANDING GEAR COLLAPSED DURING LANDING.","INCIDENT","LITTLE ROCK FSDO","N68KD","","","SOCATA","TB-20 TRINIDAD","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","04-AUG-25","01-AUG-25","19:53:00Z","LIVERMORE","CALIFORNIA","UNITED STATES","AIRCRAFT STRUCK BIRD DURING LANDING RESULTING IN DAMAGE TO RIGHT WING.","INCIDENT","OAKLAND FSDO","N172EL","","","TEXTRON AVIATION INC","172S","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
