"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","26-JAN-26","24-JAN-26","18:20:00Z","BIG BEAR CITY","CALIFORNIA","UNITED STATES","AIRCRAFT ON LANDING AND ENCOUNTERED A WIND GUST VEERING OFF THE RUNWAY AND STRIKING A RUNWAY LIGHT, BIG BEAR CITY, CA.","INCIDENT","RIVERSDIE FSDO","N3383R","","","CESSNA","182","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","26-JAN-26","25-JAN-26","21:50:00Z","KINGMAN","ARIZONA","UNITED STATES","AIRCRAFT NOSE GEAR COLLAPSED ON LANDING, KINGMAN, AZ.","INCIDENT","SCOTTSDALE FSDO","N4402T","","","PIPER","PA28","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","29-JAN-26","22-AUG-25","13:40:00Z","PICAYUNE","MISSISSIPPI","UNITED STATES","AIRCRAFT LOST POWER WHILE PRACTICING HOVERING AND WENT INTO A NOSE DOWN ATTITUDE CONTACTING THE GROUND, PICAYUNE, MS.","ACCIDENT","JACKSON FSDO","N360DT","","","BELL","206","No","SUBSTANTIAL","OTHER","MANEUVERING (MNV)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","29-JAN-26","28-JAN-26","20:13:00Z","COVINGTON","KENTUCKY","UNITED STATES","AIRCRAFT STRUCK A BIRD ON TAKEOFF RESULTING IN A LEFT ENGINE FIRE AND RETURNED TO AIRPORT, COVINGTON, KY.","INCIDENT","CINCINNATI FSDO","N5827K","ASA2616","ALASKA AIRLINES","AIRBUS","A330","No","UNKNOWN","CARGO","TAKEOFF (TOF)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","29-JAN-26","28-JAN-26","19:29:00Z","GREENVILLE","SOUTH CAROLINA","UNITED STATES","AIRCRAFT NOSE GEAR COLLAPSED WHILE DOING TOUCH AND GOES, GREENVILLE, SC.","INCIDENT","COLUMBIA FSDO","N67WJ","","","CESSNA","150","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","29-JAN-26","28-JAN-26","21:35:00Z","BOCA RATON","FLORIDA","UNITED STATES","AIRCRAFT LANDED GEAR UP, BOCA RATON, FL.","INCIDENT","SOUTH FLORIDA FSDO","N716CZ","","","AIRCRAFT SPRUCE AND SPECIALTY","COZY MK IV","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","29-JAN-26","28-JAN-26","22:39:00Z","INVERNESS","FLORIDA","UNITED STATES","AIRCRAFT LANDED GEAR UP, INVERNESS, FL.","INCIDENT","TAMPA FSDO","N1392W","","","MOONEY","M20C","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","29-JAN-26","29-JAN-26","01:50:00Z","WILMINGTON","DELAWARE","UNITED STATES","AIRCRAFT LANDED ON A CLOSED RUNWAY, LOST CONTROL DAMAGING THE PROP AND WINGS, WILMINGTON, DE.","INCIDENT","PHILADELPHIA FSDO","N969FG","","","CESSNA","172","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","02-FEB-26","01-FEB-26","17:19:00Z","ODESSA","TEXAS","UNITED STATES","AIRCRAFT ATTEMPTED  A GO-AROUND IMMEDIATELY AFTER TOUCHING DOWN AND LANDING GEAR STRUCK THE WINDSHIELD OF N6780W WHICH JUST TAXIED ONTO THE RUNWAY, ODESSA, TX.","ACCIDENT","LUBBOCK FSDO","N9AB","","","BEECH","V35B","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","02-FEB-26","01-FEB-26","17:19:00Z","ODESSA","TEXAS","UNITED STATES","AIRCRAFT JUST PULLED ONTO RUNWAY AS N9AB WAS ATTEMPTING TO LAND, DID A GO-AROUND IMMEDIATELY AND LANDING GEAR STRUCK THE WINDSHIELD, ODESSA, TX.","ACCIDENT","LUBBOCK FSDO","N6780W","","","PIPER","PA28","No","SUBSTANTIAL","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","02-FEB-26","01-FEB-26","04:20:00Z","ANCHORAGE","ALASKA","UNITED STATES","AIRCRAFT DEPARTED, WHILE IN A CLIMBING TURN, DESCENDED AND MADE A HARD LANDING ON A TAXIWAY, ANCHORAGE, AK.","ACCIDENT","ANCHORAGE FSDO","N3263Z","","","PIPER","PA22","No","SUBSTANTIAL","PERSONAL","INITIAL CLIMB (ICL)","91","MINOR","No","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"No","02-FEB-26","30-JAN-26","16:30:00Z","DURANGO","COLORADO","UNITED STATES","AIRCRAFT WAS ASSISTED BY A BY-STANDER WHO WAS INJURED, DURANGO, CO.","ACCIDENT","SALT LAKE CITY FSDO","N4010K","","","ADAMS BALLOONS","A55S","No","NONE","PERSONAL","LANDING (LDG)","91","SERIOUS","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"No","02-FEB-26","01-FEB-26","16:45:00Z","AKRON","OHIO","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND CRASHED INTO TREES, AKRON, OH.","INCIDENT","CLEVELAND FSDO","N5930V","","","PIPER","J3C-65","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"No","02-FEB-26","29-JAN-26","23:40:00Z","HILLSBORO","TEXAS","UNITED STATES","AIRCRAFT LEFT DOOR DEPARTED IN FLIGHT, HILLSBORO, TX.","INCIDENT","NORTH TEXAS FSDO","N37VK","","","DIAMOND","DA42","No","MINOR","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","02-FEB-26","30-NOV-25","20:30:00Z","LUBBOCK","TEXAS","UNITED STATES","AIRCRAFT MADE A HARD LANDING AND BENT THE PROP, LUBBOCK, TX.","INCIDENT","LUBBOCK FSDO","N169SR","","","CIRRUS","SR20","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","02-FEB-26","29-JAN-26","23:50:00Z","CINCINNATI","OHIO","UNITED STATES","AIRCRAFT STRUCK A FLOCK OF BIRDS LEAVING A LARGE DENT IN THE GENERATOR AIR INLET, CINCINNATI, OH.","INCIDENT","CINCINNATI FSDO","N343QS","","NET JETS","EMBRAER","EMB-505","No","UNKNOWN","ON DEMAND","APPROACH (APR)","135","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","02-FEB-26","01-FEB-26","16:42:00Z","ATHENS","TEXAS","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED IN A FIELD, ATHENS, TX.","INCIDENT","NORTH TEXAS FSDO","N378Z","","","BEECH","35-A33","No","NONE","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","02-FEB-26","31-JAN-26","01:51:00Z","AUSTIN","TEXAS","UNITED STATES","AIRCRAFT ON TAKEOFF ROLL, NOSE WHEEL BLEW APART, PILOT ATTEMPTED TO ABORT TAKEOFF AND ENDED UP PAST THE DEPARTURE END OF THE RUNWAY IN A FENCE, AUSTIN, TX.","INCIDENT","SAN ANTONIO FSDO","N441EC","","","CESSNA","441","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"No","02-FEB-26","31-JAN-26","15:30:00Z","AUGUSTA","KANSAS","UNITED STATES","AIRCRAFT IMPACTED A SNOW BANK DURING LANDING AND FLIPPED OVER, AUGUSTA, KS.","INCIDENT","WICHITA FSDO","N767VK","","","TEXTRON","172","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","02-FEB-26","30-JAN-26","19:20:00Z","MADISON","WISCONSIN","UNITED STATES","AIRCRAFT STRUCK A BIRD AND POST FLIGHT INSPECTION REVEALED A DENT IN THE LEFT WING, MADISON, WI.","INCIDENT","MILWAUKEE FSDO","N832MA","","","CESSNA","172","No","UNKNOWN","PUBLIC USE","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","02-FEB-26","01-FEB-26","23:50:00Z","HOLLYWOOD","FLORIDA","UNITED STATES","AIRCRAFT LANDED GEAR UP, HOLLYWOOD, FL.","INCIDENT","SOUTH FLORIDA FSDO","N949SM","","","CESSNA","172RG","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"No","02-FEB-26","30-JAN-26","18:11:00Z","GOSHEN","UTAH","UNITED STATES","AIRCRAFT MADE AN EMEGENCY LANDING ON A HIGHWAY DUE TO ENGINE ISSUES, GOSHEN, UT.","INCIDENT","SALT LAKE CITY FSDO","N2050E","","","CESSNA","172","No","UNKNOWN","INSTRUCTION","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","02-FEB-26","30-JAN-26","21:34:00Z","CHICAGO","ILLINOIS","UNITED STATES","AIRCRAFT PARKED AT THE DE-ICE PAD AND RIGHT WING WAS STRUCK BY A DE-ICE TRUCK, CHICAGO, IL.","INCIDENT","GREATER CHICAGO FSDO","N9013A","AAL2121","AMERICAN AIRLINES","AIRBUS","A319","No","MINOR","COMMERCIAL","STANDING (STD)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","02-FEB-26","29-JAN-26","23:00:00Z","MARBLE FALLS","TEXAS","UNITED STATES","AIRCRAFT MADE AN EMERGENCY LANDING IN THE COLORADO RIVER ON A DRY RIVERBED, MARBEL FALLS, TX.","INCIDENT","SAN ANTONIO FSDO","N36927","","","AERONCA","L-3B","No","NONE","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","02-FEB-26","30-JAN-26","18:20:00Z","ST PETERSBURG","FLORIDA","UNITED STATES","AIRCRAFT LANDED AND GEAR COLLAPSED, ST PETERSBURG, FL.","INCIDENT","TAMPA FSDO","N51576","","","VELOCITY","VELOCITY","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
